open,close,high,low,value,volume,begin,end
810.0,730.0,810.0,730.0,478000.0,600,2006-05-16 00:00:00,2006-05-16 23:59:59
638.0,636.0,641.0,633.0,1273800.0,2000,2006-06-07 00:00:00,2006-06-07 23:59:59
635.26,644.0,644.0,630.13,573178.0,900,2006-06-08 00:00:00,2006-06-08 23:59:59
600.0,597.0,600.0,595.0,1849000.0,3100,2006-06-14 00:00:00,2006-06-14 23:59:59
595.0,597.0,620.0,595.0,3905000.0,6500,2006-06-15 00:00:00,2006-06-15 23:59:59
540.13,545.0,545.0,540.13,434052.0,800,2006-06-16 00:00:00,2006-06-16 23:59:59
560.0,555.0,561.0,555.0,893700.0,1600,2006-06-19 00:00:00,2006-06-19 23:59:59
560.0,595.0,595.0,560.0,234500.0,400,2006-06-28 00:00:00,2006-06-28 23:59:59
608.0,608.0,608.0,608.0,121600.0,200,2006-06-29 00:00:00,2006-06-29 23:59:59
608.0,608.0,608.0,608.0,2553600.0,4200,2006-06-30 00:00:00,2006-06-30 23:59:59
604.5,604.5,604.5,604.5,302250.0,500,2006-07-03 00:00:00,2006-07-03 23:59:59
650.0,665.9,665.9,650.0,1123400.0,1700,2006-07-04 00:00:00,2006-07-04 23:59:59
642.0,642.0,642.0,642.0,321000.0,500,2006-07-06 00:00:00,2006-07-06 23:59:59
650.0,650.0,650.0,650.0,130000.0,200,2006-07-10 00:00:00,2006-07-10 23:59:59
660.0,660.0,660.0,660.0,264000.0,400,2006-07-11 00:00:00,2006-07-11 23:59:59
680.0,700.0,700.0,680.0,758000.0,1100,2006-07-12 00:00:00,2006-07-12 23:59:59
680.0,690.0,690.0,680.0,1370000.0,2000,2006-07-17 00:00:00,2006-07-17 23:59:59
680.0,690.0,690.0,680.0,956000.0,1400,2006-07-18 00:00:00,2006-07-18 23:59:59
695.3,695.3,695.3,695.3,139060.0,200,2006-07-19 00:00:00,2006-07-19 23:59:59
705.0,705.0,705.0,705.0,211500.0,300,2006-07-20 00:00:00,2006-07-20 23:59:59
720.0,720.0,720.0,720.0,360000.0,500,2006-07-21 00:00:00,2006-07-21 23:59:59
711.0,730.0,730.0,705.0,500700.0,700,2006-07-28 00:00:00,2006-07-28 23:59:59
720.0,720.0,720.0,720.0,432000.0,600,2006-08-01 00:00:00,2006-08-01 23:59:59
724.0,724.0,724.0,711.0,215900.0,300,2006-08-03 00:00:00,2006-08-03 23:59:59
738.0,739.0,739.0,738.0,1477000.0,2000,2006-08-04 00:00:00,2006-08-04 23:59:59
739.0,738.0,739.0,738.0,590500.0,800,2006-08-08 00:00:00,2006-08-08 23:59:59
739.0,742.0,742.0,739.0,296200.0,400,2006-08-09 00:00:00,2006-08-09 23:59:59
745.0,745.0,745.0,745.0,149000.0,200,2006-08-14 00:00:00,2006-08-14 23:59:59
738.0,744.0,744.0,737.0,959900.0,1300,2006-08-15 00:00:00,2006-08-15 23:59:59
739.0,743.0,743.0,739.0,370500.0,500,2006-08-16 00:00:00,2006-08-16 23:59:59
741.0,737.0,741.0,737.0,295200.0,400,2006-08-17 00:00:00,2006-08-17 23:59:59
737.0,737.0,737.0,737.0,73700.0,100,2006-08-18 00:00:00,2006-08-18 23:59:59
740.0,745.0,745.0,740.0,667900.0,900,2006-08-21 00:00:00,2006-08-21 23:59:59
739.26,740.0,740.0,739.26,295852.0,400,2006-08-22 00:00:00,2006-08-22 23:59:59
748.0,760.0,760.0,748.0,601800.0,800,2006-08-23 00:00:00,2006-08-23 23:59:59
757.0,757.0,757.0,757.0,757000.0,1000,2006-08-24 00:00:00,2006-08-24 23:59:59
757.0,765.0,765.0,757.0,152200.0,200,2006-08-25 00:00:00,2006-08-25 23:59:59
1000.0,1000.0,1000.0,1000.0,100000.0,100,2006-08-29 00:00:00,2006-08-29 23:59:59
850.0,850.0,850.0,850.0,85000.0,100,2006-09-01 00:00:00,2006-09-01 23:59:59
795.0,795.0,795.0,795.0,318000.0,400,2006-09-04 00:00:00,2006-09-04 23:59:59
870.0,1000.0,1000.0,870.0,374000.0,400,2006-09-05 00:00:00,2006-09-05 23:59:59
820.0,850.0,850.0,820.0,337000.0,400,2006-09-08 00:00:00,2006-09-08 23:59:59
870.0,850.0,870.0,850.0,342000.0,400,2006-09-11 00:00:00,2006-09-11 23:59:59
870.0,825.0,870.0,825.0,774005.0,900,2006-09-12 00:00:00,2006-09-12 23:59:59
787.0,870.0,870.0,787.0,165700.0,200,2006-09-14 00:00:00,2006-09-14 23:59:59
876.0,876.0,876.0,876.0,525600.0,600,2006-09-18 00:00:00,2006-09-18 23:59:59
888.0,892.0,899.99,888.0,5724030.0,6400,2006-09-19 00:00:00,2006-09-19 23:59:59
895.0,888.0,900.0,888.0,715100.0,800,2006-09-21 00:00:00,2006-09-21 23:59:59
870.0,874.0,889.9,870.0,876790.0,1000,2006-09-22 00:00:00,2006-09-22 23:59:59
867.1,867.1,867.1,867.1,86710.0,100,2006-09-25 00:00:00,2006-09-25 23:59:59
882.0,883.0,883.0,882.0,176500.0,200,2006-09-26 00:00:00,2006-09-26 23:59:59
879.0,879.0,879.0,879.0,351600.0,400,2006-09-28 00:00:00,2006-09-28 23:59:59
883.0,875.0,883.0,875.0,351703.0,400,2006-10-02 00:00:00,2006-10-02 23:59:59
880.0,880.0,880.0,880.0,88000.0,100,2006-10-03 00:00:00,2006-10-03 23:59:59
875.0,875.0,875.0,875.0,175000.0,200,2006-10-04 00:00:00,2006-10-04 23:59:59
875.0,875.0,875.0,875.0,612500.0,700,2006-10-05 00:00:00,2006-10-05 23:59:59
870.0,870.0,870.0,870.0,87000.0,100,2006-10-06 00:00:00,2006-10-06 23:59:59
888.0,885.0,890.0,885.0,976200.0,1100,2006-10-17 00:00:00,2006-10-17 23:59:59
800.0,880.0,891.0,800.0,24968210.0,28200,2006-10-18 00:00:00,2006-10-18 23:59:59
